#,Country/territory,"Share 2019","Share 2020","Count 2020","Change in Adjusted Share 2019-2020"
1,"United States of America (USA)",20420.14,20180.68,28449,-4.4
2,China,11383.07,13581.68,18043,15.5
3,Germany,4595.73,4558.37,8801,-4.0
4,"United Kingdom (UK)",3761.92,3779.64,7857,-2.8
5,Japan,3090.85,3030.64,4914,-5.1
6,France,2205.76,2251.55,5078,-1.2
7,Canada,1621.63,1605.11,3414,-4.2
8,Switzerland,1425.75,1491.02,3282,1.2
9,"South Korea",1352.05,1436.43,2422,2.8
10,Australia,1256.53,1264.14,2999,-2.6
11,Spain,1169.68,1168.03,2786,-3.4
12,India,963.22,1040.69,1656,4.5
13,Italy,1068.68,1036.28,2657,-6.2
14,Netherlands,937.25,933.31,2411,-3.6
15,Sweden,639.88,626.47,1843,-5.3
16,Israel,619.03,609.68,1292,-4.7
17,Singapore,607.14,607.71,1254,-3.1
18,Russia,483.05,468.24,1419,-6.2
19,Belgium,421.89,413.06,1180,-5.3
20,Denmark,409.26,389.06,1152,-8.0
21,Taiwan,393.28,372.75,934,-8.3
22,Austria,366.93,368.50,1137,-2.8
23,Brazil,308.51,280.48,857,-12.0
24,Poland,236.45,250.10,828,2.4
25,"Czech Republic",198.83,230.07,723,12.0
26,Norway,201.83,229.72,737,10.1
27,Finland,217.58,218.63,738,-2.8
28,Portugal,166.92,144.82,558,-16.0
29,"Saudi Arabia",134.06,135.62,452,-2.1
30,"New Zealand",124.52,131.64,444,2.3
31,Chile,109.09,119.70,440,6.2
32,Ireland,110.12,116.92,450,2.7
33,Iran,118.47,112.21,293,-8.3
34,Mexico,102.48,94.67,380,-10.6
35,Argentina,100.83,94.38,302,-9.4
36,Greece,84.24,86.18,423,-1.0
37,"South Africa",90.77,83.37,405,-11.1
38,Hungary,79.45,81.15,376,-1.2
39,Turkey,72.99,64.58,375,-14.4
40,Thailand,40.71,49.00,254,16.5
41,Slovenia,42.86,46.54,184,5.1
42,Colombia,17.56,28.01,272,54.3
43,Estonia,16.33,25.87,196,53.3
44,Iceland,28.66,25.26,115,-14.7
45,Romania,23.52,24.19,213,-0.5
46,Ukraine,21.78,23.24,233,3.3
47,Luxembourg,20.39,21.34,81,1.3
48,"United Arab Emirates",17.79,21.20,107,15.3
49,Croatia,31.28,20.93,184,-35.2
50,Slovakia,10.14,19.02,148,81.5
