Pais,Code_x,Year,R&D  (% of GDP),Publicacions,Value
Argentina,ARG,2016,0.55815,314.0,475.2
Argentina,ARG,2018,0.49435,310.0,404.1
Austria,AUT,2016,3.11655,901.0,495.0
Austria,AUT,2018,3.09058,1030.0,489.8
Belgium,BEL,2016,2.52338,1057.0,502.0
Belgium,BEL,2018,2.86031,1114.0,498.8
Brazil,BRA,2016,1.28637,753.0,400.7
Brazil,BRA,2018,1.16769,863.0,403.6
Canada,CAN,2016,1.72873,3268.0,527.7
Canada,CAN,2018,1.67917,3130.0,518.0
Chile,CHL,2016,0.36934,382.0,447.0
Chile,CHL,2018,0.36647,371.0,443.6
China,CHN,2016,2.10033,10692.0,517.8
China,CHN,2018,2.14058,12845.0,590.5
Colombia,COL,2016,0.27051,231.0,415.7
Colombia,COL,2018,0.31233,270.0,413.3
Czech Republic,CZE,2016,1.67003,573.0,492.8
Czech Republic,CZE,2018,1.89945,638.0,496.8
Denmark,DNK,2016,3.09283,1050.0,501.9
Denmark,DNK,2018,2.96603,1054.0,492.6
Finland,FIN,2016,2.72442,649.0,530.7
Finland,FIN,2018,2.75742,617.0,521.9
France,FRA,2016,2.22238,4857.0,495.0
France,FRA,2018,2.19666,4744.0,493.0
Georgia,GEO,2016,0.28586,,411.1
Georgia,GEO,2018,0.28052,,382.7
Germany,DEU,2016,2.94039,8301.0,509.1
Germany,DEU,2018,3.10788,8212.0,503.0
Greece,GRC,2016,1.00529,408.0,454.8
Greece,GRC,2018,1.21371,398.0,451.6
Hungary,HUN,2016,1.17963,341.0,476.7
Hungary,HUN,2018,1.50755,340.0,480.9
Iceland,ISL,2016,2.1098,78.0,473.2
Iceland,ISL,2018,2.0002,107.0,475.0
Ireland,IRL,2016,1.17571,434.0,502.6
Ireland,IRL,2018,1.1693,471.0,496.1
Israel,ISR,2016,4.51087,1187.0,466.6
Israel,ISR,2018,4.79662,1199.0,462.2
Italy,ITA,2016,1.36642,2632.0,480.5
Italy,ITA,2018,1.42443,2552.0,468.0
Japan,JPN,2016,3.10666,5063.0,538.4
Japan,JPN,2018,3.22175,4782.0,529.1
Mexico,MEX,2016,0.38778,293.0,415.7
Mexico,MEX,2018,0.30711,350.0,419.2
Netherlands,NLD,2016,2.15081,2118.0,508.6
Netherlands,NLD,2018,2.1388,2232.0,503.4
Norway,NOR,2016,2.0446,564.0,498.5
Norway,NOR,2018,2.04781,653.0,490.4
Poland,POL,2016,0.96287,768.0,501.4
Poland,POL,2018,1.20891,813.0,511.0
Portugal,PRT,2016,1.28075,497.0,501.1
Portugal,PRT,2018,1.34955,534.0,491.7
Romania,ROU,2016,0.48126,212.0,434.9
Romania,ROU,2018,0.50112,235.0,425.8
Russia,RUS,2016,1.10238,1151.0,486.6
Russia,RUS,2018,0.99002,1300.0,477.7
Singapore,SGP,2016,2.07471,1105.0,555.6
Singapore,SGP,2018,1.81391,1136.0,550.9
Slovenia,SVN,2016,2.00764,214.0,512.9
Slovenia,SVN,2018,1.94645,179.0,507.0
South Korea,KOR,2018,4.51633,2129.0,519.0
Spain,ESP,2016,1.19048,2642.0,492.8
Spain,ESP,2018,1.24213,2516.0,483.3
Sweden,SWE,2016,3.24736,1578.0,493.4
Sweden,SWE,2018,3.32106,1650.0,499.4
Thailand,THA,2016,0.77829,165.0,421.3
Thailand,THA,2018,1.11406,223.0,425.8
Turkey,TUR,2016,0.93816,357.0,425.5
Turkey,TUR,2018,1.02517,327.0,468.3
United Kingdom,GBR,2016,1.64281,7344.0,509.2
United Kingdom,GBR,2018,1.70494,7330.0,504.7
United States,USA,2016,2.84585,27562.0,496.2
United States,USA,2018,3.00082,27350.0,502.4
