#,Country/territory,"Share 2016","Share 2017","Count 2017","Change in Adjusted Share 2016-2017"
1,"United States of America (USA)",20767.06,20008.80,26921,-1.2
2,China,7676.63,8096.05,11195,8.2
3,Germany,4682.20,4518.93,8291,-1.0
4,"United Kingdom (UK)",3807.94,3738.29,7296,0.7
5,Japan,3416.73,3178.09,4804,-4.6
6,France,2440.45,2329.55,4850,-2.1
7,Canada,1777.68,1581.47,3032,-8.8
8,Switzerland,1348.57,1350.52,2931,2.7
9,"South Korea",1419.46,1337.44,2151,-3.4
10,Spain,1205.47,1213.89,2626,3.3
11,Australia,1211.62,1174.32,2529,-0.6
12,Italy,1183.33,1046.13,2479,-9.3
13,Netherlands,869.66,936.97,2219,10.5
14,India,943.19,905.20,1337,-1.6
15,Israel,612.90,593.89,1122,-0.6
16,Sweden,661.59,585.69,1610,-9.2
17,Singapore,590.95,555.70,1061,-3.6
18,Belgium,416.51,455.01,1112,12.0
19,Taiwan,499.71,443.18,905,-9.0
20,Russia,388.36,398.22,1244,5.2
21,Denmark,373.80,395.92,1048,8.6
22,Austria,321.49,335.24,1048,6.9
23,Brazil,238.12,251.71,814,8.4
24,Poland,248.48,207.09,748,-14.5
25,Finland,222.94,204.59,626,-5.9
26,"Czech Republic",161.02,171.74,568,9.4
27,Norway,152.89,162.10,595,8.7
28,Portugal,144.42,141.68,500,0.6
29,"Saudi Arabia",124.31,137.40,514,13.4
30,Ireland,128.03,133.32,426,6.8
31,"New Zealand",129.57,121.99,358,-3.4
32,Argentina,97.32,93.61,290,-1.3
33,Iran,69.30,91.02,209,34.7
34,Greece,104.04,88.46,389,-12.8
35,Chile,103.06,83.54,354,-16.9
36,Mexico,79.27,79.71,313,3.1
37,Hungary,90.35,77.32,323,-12.2
38,Turkey,76.95,73.49,336,-2.1
39,"South Africa",75.68,62.48,307,-15.3
40,Slovenia,47.31,36.16,182,-21.6
41,Thailand,32.77,29.38,165,-8.0
42,Pakistan,23.30,28.74,161,26.5
43,Ukraine,32.94,27.52,205,-14.3
44,Romania,27.43,25.28,216,-5.5
45,Colombia,17.17,24.37,240,45.6
46,Iceland,23.92,23.08,98,-1.1
47,Estonia,18.42,22.16,154,23.4
48,Croatia,20.57,21.07,160,5.1
49,Luxembourg,9.32,20.57,55,126.5
50,Cyprus,16.82,18.39,87,12.1
