#,Country/territory,"Share 2017","Share 2018","Count 2018","Change in Adjusted Share 2017-2018"
1,"United States of America (USA)",20008.80,19999.80,27350,-1.5
2,China,8096.05,9273.01,12845,12.9
3,Germany,4518.93,4441.64,8212,-3.1
4,"United Kingdom (UK)",3738.29,3695.92,7330,-2.6
5,Japan,3178.09,3105.12,4782,-3.7
6,France,2329.55,2254.99,4744,-4.6
7,Canada,1581.47,1577.72,3130,-1.7
8,Switzerland,1350.52,1360.53,3059,-0.7
9,"South Korea",1337.44,1302.48,2129,-4.0
10,Spain,1213.89,1110.28,2516,-9.9
11,Australia,1174.32,1106.25,2440,-7.2
12,Italy,1046.13,1045.72,2552,-1.5
13,India,905.20,958.36,1467,4.4
14,Netherlands,936.97,922.29,2232,-3.0
15,Sweden,585.69,607.02,1650,2.2
16,Singapore,555.70,599.11,1136,6.3
17,Israel,593.89,588.70,1199,-2.3
18,Taiwan,443.18,425.68,950,-5.3
19,Russia,398.22,413.52,1300,2.3
20,Belgium,455.01,405.88,1114,-12.1
21,Austria,335.24,375.73,1030,10.5
22,Denmark,395.92,365.68,1054,-9.0
23,Brazil,251.71,262.94,863,3.0
24,Poland,207.09,220.28,813,4.8
25,Finland,204.59,196.75,617,-5.2
26,"Czech Republic",171.74,195.50,638,12.2
27,Norway,162.10,193.18,653,17.5
28,"Saudi Arabia",137.40,140.45,465,0.8
29,Portugal,141.68,135.62,534,-5.7
30,"New Zealand",121.99,130.27,391,5.2
31,Ireland,133.32,127.06,471,-6.1
32,Chile,83.54,100.90,371,19.0
33,Argentina,93.61,98.09,310,3.3
34,Iran,91.02,88.14,243,-4.6
35,Greece,88.46,83.09,398,-7.4
36,Mexico,79.71,80.79,350,-0.1
37,Hungary,77.32,77.57,340,-1.1
38,"South Africa",62.48,70.01,353,10.4
39,Turkey,73.49,59.66,327,-20.0
40,Slovenia,36.16,40.99,179,11.7
41,Pakistan,28.74,40.26,198,38.1
42,Thailand,29.38,37.57,223,26.0
43,Croatia,21.07,28.49,180,33.3
44,Iceland,23.08,26.83,107,14.6
45,Estonia,22.16,26.11,152,16.1
46,Romania,25.28,22.05,235,-14.0
47,Ukraine,27.52,21.43,238,-23.2
48,Luxembourg,20.57,18.97,72,-9.1
49,"United Arab Emirates",17.33,18.81,73,7.0
50,Colombia,24.37,17.38,270,-29.7
